"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"">",,
<!DOCTYPE HTML>><HTML><HEAD>,,
"<META content=""text/html; charset=windows-1252"" ",,
"http-equiv=""Content-Type""></HEAD>",,
<BODY><PRE><PRE>wl,n,k
1.520322271,1.482912411,14.92407714
1.551928808,1.515694651,15.2539818
1.584192425,1.551084195,15.58956535
1.617126783,1.589092192,15.93093394
1.650745825,1.629736182,16.27819335
1.685063785,1.673039567,16.63144911
1.720095194,1.719031154,16.99080652
1.755854884,1.767744771,17.3563706
1.792357996,1.819218933,17.72824614
1.829619984,1.873496538,18.10653765
1.867656625,1.930624604,18.4913493
1.906484023,1.990654023,18.88278488
1.946118619,2.053639337,19.28094774
1.986577193,2.119638528,19.68594069
2.027876875,2.188712809,20.09786598
2.070035151,2.260926433,20.51682519
2.113069871,2.336346497,20.94291914
2.156999256,2.41504275,21.37624782
2.201841905,2.497087399,21.81691034
2.247616804,2.582554916,22.2650048
2.294343334,2.671521832,22.72062824
2.342041279,2.764066531,23.18387656
2.390730835,2.860269039,23.65484448
2.440432615,2.960210796,24.13362543
2.491167664,3.063974424,24.62031155
2.542957462,3.171643486,25.1149936
2.595823938,3.28330223,25.61776098
2.649789474,3.399035321,26.12870166
2.70487692,3.518927568,26.64790222
2.761109598,3.643063627,27.17544786
2.818511318,3.771527703,27.71142243
2.877106384,3.904403237,28.25590848
2.936919604,4.041772575,28.80898738
2.997976303,4.183716642,29.37073939
3.060302332,4.33031459,29.94124384
3.12392408,4.48164345,30.52057931
3.188868484,4.637777778,31.10882383
3.255163041,4.798789294,31.70605512
3.322835819,4.964746527,32.31235095
3.391915472,5.135714459,32.92778941
3.462431247,5.311754182,33.55244938
3.534413001,5.492922566,34.18641091
3.607891209,5.679271947,34.82975576
3.682896983,5.870849837,35.48256794
3.759462079,6.067698667,36.14493431
3.837618916,6.269855569,36.81694527
3.917400583,6.477352203,37.49869547
3.998840861,6.690214636,38.19028457
4.08197423,6.90846329,38.89181812
4.16683589,7.132112955,39.6034084
4.25346177,7.36117289,40.32517536
4.341888547,7.595647005,41.0572476
4.432153661,7.835534158,41.79976337
4.524295329,8.08082854,42.55287158
4.618352565,8.331520197,43.31673287
4.71436519,8.587595661,44.09152061
4.812373858,8.849038716,44.877422
4.912420063,9.115831304,45.67463899
5.014546166,9.387954561,46.48338931
5.118795406,9.665389996,47.30390732
5.225211921,9.948120811,48.1364449
5.333840769,10.23613335,48.9812721
5.444727941,10.52941867,49.83867781
5.557920388,10.82797428,50.70897018
5.673466033,11.13180587,51.592477
5.7914138,11.44092929,52.4895458
5.911813626,11.75537248,53.40054382
6.034716488,12.07517751,54.3258578
6.160174423,12.40040264,55.26589347
6.288240549,12.73112437,56.22107493
6.418969089,13.06743952,57.19184373
6.552415392,13.4094672,58.17865772
6.688635959,13.75735076,59.18198974
6.827688466,14.11125961,60.20232601
6.969631786,14.47139089,61.24016436
7.114526018,14.83797107,62.29601226
7.262432509,15.21125724,63.37038465
7.413413883,15.59153835,64.46380166
7.567534063,15.9791361,65.57678612
7.724858305,16.37440568,66.709861
7.885453218,16.77773621,67.86354682
8.049386798,17.189551,69.03835893
8.216728453,17.61030748,70.23480477
8.387549035,18.04049689,71.4533812
8.561920869,18.48064377,72.69457179
8.739917783,18.93130515,73.95884422
8.92161514,19.39306952,75.24664775
9.107089869,19.86655559,76.55841077
9.296420502,20.35241085,77.89453853
9.489687198,20.85130994,79.25541095
9.686971786,21.36395281,80.64138069
9.888357796,21.89106287,82.05277128
10.09393049,22.43338482,83.4898755
10.30377692,22.99168257,84.95295395
10.51798592,23.56673694,86.44223373
10.73664818,24.15934335,87.95790747
10.9598563,24.77030949,89.50013235
11.18770477,25.40045293,91.06902946
11.42029007,26.05059874,92.66468328
11.65771067,26.72157707,94.28714131
11.9000671,27.41422083,95.93641391
12.14746196,28.1293633,97.6124743
12.4,28.86783587,99.31525862
